ticket_id,combination_id,physical_ticket_id,combination_in_ticket,combination_label,strategy_label,ticket_numbers,draw_numbers,matched_numbers,hit_count,average_step66_score,safe_note
1,1,1,1,Фиш 1 / Комбинация 1,Балансирана претеглена комбинация,"1,4,16,18,22,37","16,29,35,37,44,47","16,37",2,78.553,Step 73 проверява вече съществуващия пакет срещу реален тираж. Това не е прогноза и не е гаранция за печалба.
2,2,1,2,Фиш 1 / Комбинация 2,Комбинация с висока претеглена оценка,"1,2,4,21,38,49","16,29,35,37,44,47",,0,79.721,Step 73 проверява вече съществуващия пакет срещу реален тираж. Това не е прогноза и не е гаранция за печалба.
3,3,1,3,Фиш 1 / Комбинация 3,Диверсифицирана претеглена комбинация,"1,2,11,23,37,44","16,29,35,37,44,47","37,44",2,85.131,Step 73 проверява вече съществуващия пакет срещу реален тираж. Това не е прогноза и не е гаранция за печалба.
4,4,1,4,Фиш 1 / Комбинация 4,Балансирана комбинация по нечетни/четни числа,"2,17,21,37,42,43","16,29,35,37,44,47",37,1,73.227,Step 73 проверява вече съществуващия пакет срещу реален тираж. Това не е прогноза и не е гаранция за печалба.
5,5,2,1,Фиш 2 / Комбинация 1,Балансирана комбинация по ниски/високи числа,"1,3,17,38,44,48","16,29,35,37,44,47",44,1,69.994,Step 73 проверява вече съществуващия пакет срещу реален тираж. Това не е прогноза и не е гаранция за печалба.
6,6,2,2,Фиш 2 / Комбинация 2,Разпределена диапазонна комбинация,"2,13,18,23,34,38","16,29,35,37,44,47",,0,73.558,Step 73 проверява вече съществуващия пакет срещу реален тираж. Това не е прогноза и не е гаранция за печалба.
7,7,2,3,Фиш 2 / Комбинация 3,Консервативно ядро,"2,12,18,24,37,49","16,29,35,37,44,47",37,1,69.453,Step 73 проверява вече съществуващия пакет срещу реален тираж. Това не е прогноза и не е гаранция за печалба.
8,8,2,4,Фиш 2 / Комбинация 4,Разширена статистическа комбинация,"1,11,17,22,42,49","16,29,35,37,44,47",,0,72.376,Step 73 проверява вече съществуващия пакет срещу реален тираж. Това не е прогноза и не е гаранция за печалба.
