combination_index,numbers,n1,n2,n3,n4,n5,n6
1,"1, 2, 18, 22, 37, 49",1,2,18,22,37,49
2,"1, 4, 21, 22, 38, 49",1,4,21,22,38,49
3,"2, 4, 18, 21, 37, 38",2,4,18,21,37,38
4,"1, 2, 18, 21, 38, 49",1,2,18,21,38,49
