epochs,train_loss,loss_start,loss_delta,train_avg_hits_top6,train_max_hits_top6,test_avg_hits_top6,test_max_hits_top6,test_events_evaluated,latest_top6_numbers
90,0.6944818797637605,0.697791064033499,0.0033091842697384743,0.743847874720358,4.0,0.7326043737574552,4.0,2012,6 8 4 2 14 16
150,0.6938277033346537,0.697791064033499,0.003963360698845286,0.747825006214268,4.0,0.7231610337972167,4.0,2012,6 8 4 2 14 28
300,0.6933601358056936,0.697791064033499,0.004430928227805442,0.7510564255530698,4.0,0.7311133200795229,4.0,2012,28 6 26 4 8 1
500,0.6932489102602751,0.697791064033499,0.004542153773223867,0.7475764354958986,4.0,0.7216699801192843,4.0,2012,28 26 32 1 6 30
