ticket_id,numbers,plan_role,risk_level,warning,safe_note
2,"11,20,21,27,34,44",само наблюдение,контролиран риск,не е приоритетен за финален пакет,"Step 78 подрежда финален план за игра от вече оценените кандидат фишове. Това е статистическа организация и контрол на риска, не гаранция за печалба."
7,"3,13,25,30,38,44",само наблюдение,контролиран риск,не е приоритетен за финален пакет,"Step 78 подрежда финален план за игра от вече оценените кандидат фишове. Това е статистическа организация и контрол на риска, не гаранция за печалба."
