draw_event_id,draw_key,date,neural_best_hits,frequency_best_hits,recency_best_hits,uniform_random_mean_best_hits,neural_minus_frequency,neural_minus_recency
2025-33-1,2025-33,,2,2,2,2.18,0,0
2025-34-1,2025-34,,2,2,1,1.92,0,1
2025-35-1,2025-35,,2,2,2,2.08,0,0
2025-36-1,2025-36,,2,2,3,2.0,0,-1
2025-37-1,2025-37,,1,3,3,2.12,-2,-2
2025-38-1,2025-38,,2,2,2,2.12,0,0
2025-39-1,2025-39,,2,2,2,1.94,0,0
2025-40-1,2025-40,,2,3,1,2.2,-1,1
2025-41-1,2025-41,,1,3,2,2.04,-2,-1
2025-42-1,2025-42,,1,2,2,2.24,-1,-1
2025-43-1,2025-43,,3,1,1,2.2,2,2
2025-44-1,2025-44,,1,3,2,2.16,-2,-1
2025-45-1,2025-45,,3,2,1,2.1,1,2
2025-46-1,2025-46,,2,3,2,1.96,-1,0
2025-47-1,2025-47,,2,2,2,2.1,0,0
2025-48-1,2025-48,,2,3,2,2.3,-1,0
2025-49-1,2025-49,,2,2,2,2.2,0,0
2025-50-1,2025-50,,3,2,2,2.16,1,1
2025-51-1,2025-51,,2,2,2,2.14,0,0
2025-52-1,2025-52,,2,1,2,2.16,1,0
2025-53-1,2025-53,,2,3,2,2.06,-1,0
2025-54-1,2025-54,,3,1,3,2.06,2,0
2025-55-1,2025-55,,2,2,2,2.02,0,0
2025-56-1,2025-56,,2,2,2,1.94,0,0
2025-57-1,2025-57,,2,1,3,1.98,1,-1
2025-58-1,2025-58,,3,1,3,1.98,2,0
2025-59-1,2025-59,,2,2,1,2.08,0,1
2025-60-1,2025-60,,3,2,2,1.98,1,1
2025-61-1,2025-61,,2,3,2,2.1,-1,0
2025-62-1,2025-62,,2,2,3,2.16,0,-1
2025-63-1,2025-63,,2,3,2,2.14,-1,0
2025-64-1,2025-64,,1,2,1,2.12,-1,0
2025-65-1,2025-65,,2,2,2,2.2,0,0
2025-66-1,2025-66,,2,2,1,2.02,0,1
2025-67-1,2025-67,,2,2,2,2.22,0,0
2025-68-1,2025-68,,2,3,3,2.06,-1,-1
2025-69-1,2025-69,,2,3,1,2.24,-1,1
2025-70-1,2025-70,,3,1,2,2.08,2,1
2025-71-1,2025-71,,1,2,3,2.16,-1,-2
2025-72-1,2025-72,,2,2,2,2.2,0,0
2025-73-1,2025-73,,2,3,2,2.0,-1,0
2025-74-1,2025-74,,4,2,2,2.24,2,2
2025-75-1,2025-75,,1,2,2,2.06,-1,-1
2025-76-1,2025-76,,2,2,2,1.94,0,0
2025-77-1,2025-77,,1,3,2,2.14,-2,-1
2025-78-1,2025-78,,2,2,1,2.0,0,1
2025-79-1,2025-79,,1,2,2,2.06,-1,-1
2025-80-1,2025-80,,2,2,1,2.08,0,1
2025-81-1,2025-81,,2,2,1,1.9,0,1
2025-82-1,2025-82,,3,3,1,1.94,0,2
2025-83-1,2025-83,,2,2,2,1.98,0,0
2025-84-1,2025-84,,3,1,1,2.26,2,2
2025-85-1,2025-85,,2,2,2,2.08,0,0
2025-86-1,2025-86,,2,3,3,2.02,-1,-1
2025-87-1,2025-87,,1,3,1,2.24,-2,0
2025-88-1,2025-88,,2,3,2,2.1,-1,0
2025-89-1,2025-89,,2,2,2,2.26,0,0
2025-90-1,2025-90,,2,3,2,2.2,-1,0
2025-91-1,2025-91,,3,3,2,2.06,0,1
2025-92-1,2025-92,,2,2,2,2.2,0,0
2025-93-1,2025-93,,2,1,3,2.06,1,-1
2025-94-1,2025-94,,1,2,1,2.08,-1,0
2025-95-1,2025-95,,3,2,1,1.98,1,2
2025-96-1,2025-96,,3,2,3,2.02,1,0
2025-97-1,2025-97,,2,1,2,2.14,1,0
2025-98-1,2025-98,,2,1,4,2.04,1,-2
2025-99-1,2025-99,,2,3,2,2.08,-1,0
2025-100-1,2025-100,,3,3,2,2.1,0,1
2025-101-1,2025-101,,1,2,2,2.08,-1,-1
2025-102-1,2025-102,,3,3,1,2.1,0,2
2025-103-1,2025-103,,2,2,3,2.18,0,-1
2025-104-1,2025-104,,1,4,1,2.04,-3,0
2025-105-1,2025-105,,3,2,1,2.04,1,2
2026-0-1,2026-0,2026-01-04,3,2,2,2.08,1,1
2026-1-1,2026-1,2026-01-08,2,1,3,2.24,1,-1
2026-2-1,2026-2,2026-01-11,2,2,2,1.92,0,0
2026-3-1,2026-3,2026-01-15,2,2,3,2.08,0,-1
2026-4-1,2026-4,2026-01-18,3,2,3,2.02,1,0
2026-5-1,2026-5,2026-01-22,2,2,2,2.3,0,0
2026-6-1,2026-6,2026-01-25,2,2,2,2.14,0,0
2026-7-1,2026-7,2026-01-29,2,2,2,2.14,0,0
2026-8-1,2026-8,2026-02-01,2,2,2,1.96,0,0
2026-9-1,2026-9,2026-02-05,2,2,2,2.06,0,0
2026-10-1,2026-10,2026-02-08,2,2,2,2.08,0,0
2026-11-1,2026-11,2026-02-12,4,1,2,2.14,3,2
2026-12-1,2026-12,2026-02-15,2,2,2,2.04,0,0
2026-13-1,2026-13,2026-02-19,1,3,2,2.02,-2,-1
2026-14-1,2026-14,2026-02-22,2,2,2,2.06,0,0
2026-15-1,2026-15,2026-02-26,2,3,2,2.08,-1,0
