plan_rank,ticket_id,numbers,plan_role,plan_action,decision_score,recommendation_level,validation_status,risk_level,structure_score,neural_ticket_score,explainability_score,discipline_note,safe_note
1,5,"2,21,25,34,43,45",основна комбинация,Включи във финалния пакет,62.744,резервен кандидат,валиден,контролиран риск,100.0,0.534294,0.534294,избран заради най-високо подреждане,"Step 78 подрежда финален план за игра от вече оценените кандидат комбинации. Това е статистическа организация и контрол на риска, не гаранция за печалба."
2,8,"2,21,30,40,42,45",основна комбинация,Включи във финалния пакет,62.224,резервен кандидат,валиден,контролиран риск,100.0,0.527801,0.527802,избран заради най-високо подреждане,"Step 78 подрежда финален план за игра от вече оценените кандидат комбинации. Това е статистическа организация и контрол на риска, не гаранция за печалба."
3,4,"7,21,27,28,34,45",основна комбинация,Включи във финалния пакет,61.671,резервен кандидат,валиден,контролиран риск,100.0,0.520892,0.520892,избран заради най-високо подреждане,"Step 78 подрежда финален план за игра от вече оценените кандидат комбинации. Това е статистическа организация и контрол на риска, не гаранция за печалба."
4,3,"2,11,25,27,38,45",резервна комбинация,Дръж като резервен вариант,61.634,резервен кандидат,валиден,контролиран риск,100.0,0.520419,0.520419,подходящ като резервна опция,"Step 78 подрежда финален план за игра от вече оценените кандидат комбинации. Това е статистическа организация и контрол на риска, не гаранция за печалба."
5,6,"2,13,19,25,30,44",резервна комбинация,Дръж като резервен вариант,61.547,резервен кандидат,валиден,контролиран риск,100.0,0.519335,0.519335,подходящ като резервна опция,"Step 78 подрежда финален план за игра от вече оценените кандидат комбинации. Това е статистическа организация и контрол на риска, не гаранция за печалба."
6,1,"2,21,29,41,42,44",резервна комбинация,Дръж като резервен вариант,61.325,резервен кандидат,валиден,контролиран риск,100.0,0.516563,0.516563,подходящ като резервна опция,"Step 78 подрежда финален план за игра от вече оценените кандидат комбинации. Това е статистическа организация и контрол на риска, не гаранция за печалба."
7,2,"11,20,21,27,34,44",само наблюдение,"Не включвай директно, само сравнявай",61.222,резервен кандидат,валиден,контролиран риск,100.0,0.51528,0.515281,не е приоритетен за финален пакет,"Step 78 подрежда финален план за игра от вече оценените кандидат комбинации. Това е статистическа организация и контрол на риска, не гаранция за печалба."
8,7,"3,13,25,30,38,44",само наблюдение,"Не включвай директно, само сравнявай",61.178,резервен кандидат,валиден,контролиран риск,100.0,0.514728,0.514729,не е приоритетен за финален пакет,"Step 78 подрежда финален план за игра от вече оценените кандидат комбинации. Това е статистическа организация и контрол на риска, не гаранция за печалба."
