number,main_group,categories,combined_score,historical_strength_score,recent_activity_score,overdue_score,stability_score,profile_score,appearances,appearance_vs_expected_ratio,recent_50,recent_100,recent_250,recent_50_ratio,recent_100_ratio,recent_250_ratio,draws_since_last_seen,average_interval,current_gap_ratio,interval_stability_score
36,Горещи напоследък,Горещо напоследък,68.02,49.56,100.0,51.24,58.4,66.25,1221,0.9913,10,15,37,1.6333,1.225,1.2087,10,8.22,1.22,58.4
37,Горещи напоследък,Горещо напоследък,63.54,51.8,100.0,21.42,57.92,76.15,1276,1.036,12,19,42,1.96,1.5517,1.372,4,7.88,0.51,57.92
38,Горещи напоследък,Горещо напоследък,66.21,49.97,100.0,46.2,56.64,59.79,1231,0.9994,9,17,40,1.47,1.3883,1.3067,9,8.17,1.1,56.64
39,Неутрални,Неутрален профил,55.63,49.12,89.02,25.2,55.83,32.29,1210,0.9824,5,11,31,0.8167,0.8983,1.0127,5,8.29,0.6,55.83
40,Исторически слаби,Исторически слабо,46.8,47.33,80.03,9.66,55.69,6.77,1166,0.9466,5,11,20,0.8167,0.8983,0.6533,2,8.63,0.23,55.69
41,Закъснели,Закъсняло,61.21,47.62,66.97,93.24,54.84,23.44,1173,0.9523,4,7,25,0.6533,0.5717,0.8167,19,8.56,2.22,54.84
42,Горещи напоследък,Горещо напоследък,56.51,50.18,100.0,5.04,56.63,44.58,1236,1.0035,10,14,35,1.6333,1.1433,1.1433,1,8.14,0.12,56.63
43,Неутрални,Неутрален профил,59.37,49.6,93.1,25.62,57.4,53.02,1222,0.9921,5,11,36,0.8167,0.8983,1.176,5,8.21,0.61,57.4
44,Неутрални,"Силно исторически, но тихо напоследък",53.86,52.45,94.73,0.0,54.58,41.46,1292,1.0489,7,9,26,1.1433,0.735,0.8493,0,7.79,0.0,54.58
45,Неутрални,Неутрален профил,55.57,50.26,66.97,46.62,58.08,48.75,1238,1.0051,4,7,25,0.6533,0.5717,0.8167,9,8.11,1.11,58.08
46,Неутрални,Неутрален профил,54.75,50.62,100.0,0.0,56.42,36.36,1247,1.0124,7,14,29,1.1433,1.1433,0.9473,0,8.07,0.0,56.42
47,Неутрални,Неутрален профил,46.61,49.32,75.13,0.0,58.24,30.0,1215,0.9864,4,10,26,0.6533,0.8167,0.8493,0,8.28,0.0,58.24
48,Неутрални,Неутрален профил,57.28,51.55,100.0,0.0,57.59,57.5,1270,1.0311,8,15,35,1.3067,1.225,1.1433,0,7.92,0.0,57.59
49,Горещи напоследък,Горещо напоследък,64.54,51.72,100.0,31.92,57.95,65.31,1274,1.0343,11,16,31,1.7967,1.3067,1.0127,6,7.89,0.76,57.95
