ticket_id,strategy_label,numbers,average_step66_score,changed,safe_note
1,Балансирана претеглена комбинация,"1,4,16,18,22,37",78.553,True,"Кандидат портфолио за преглед, не гаранция за печалба."
2,Комбинация с висока претеглена оценка,"1,2,4,21,38,49",79.721,False,"Кандидат портфолио за преглед, не гаранция за печалба."
3,Диверсифицирана претеглена комбинация,"1,2,11,23,37,44",85.131,False,"Кандидат портфолио за преглед, не гаранция за печалба."
4,Балансирана комбинация по нечетни/четни числа,"2,17,21,37,42,43",73.227,True,"Кандидат портфолио за преглед, не гаранция за печалба."
5,Балансирана комбинация по ниски/високи числа,"1,3,17,38,44,48",69.994,True,"Кандидат портфолио за преглед, не гаранция за печалба."
6,Разпределена диапазонна комбинация,"2,13,18,23,34,38",73.558,False,"Кандидат портфолио за преглед, не гаранция за печалба."
7,Консервативно ядро,"2,12,18,24,37,49",69.453,False,"Кандидат портфолио за преглед, не гаранция за печалба."
8,Разширена статистическа комбинация,"1,11,17,22,42,49",72.376,False,"Кандидат портфолио за преглед, не гаранция за печалба."
