ticket_index,combination,final_score,band,pattern_score,coverage_score,number_profile_score,hot_cold_balance_score,similarity_context_score
1,"8, 22, 24, 37, 41, 43",81.05,Добра статистическа структура,100.0,88.0,56.53,85.0,80.0
2,"4, 17, 28, 29, 33, 38",80.88,Добра статистическа структура,93.0,88.0,62.24,85.0,80.0
3,"1, 14, 17, 24, 36, 43",80.57,Добра статистическа структура,97.0,88.0,57.31,85.0,80.0
4,"8, 9, 21, 26, 37, 45",79.84,Добра статистическа структура,93.0,88.0,57.9,85.0,80.0
5,"4, 11, 20, 27, 28, 31",79.81,Добра статистическа структура,96.0,88.0,55.03,85.0,80.0
