model,event_index,year,draw_number,drawing_no,predicted_top6,actual_numbers,matched_numbers,hit_count
frequency_baseline,8106,2011,58,2,4 44 49 25 1 28,6 13 20 33 41 42,,0
frequency_baseline,8107,2011,59,1,4 44 49 25 1 28,1 16 17 21 25 34,1 25,2
frequency_baseline,8108,2011,59,2,4 44 49 25 1 28,3 9 14 19 28 42,28,1
frequency_baseline,8109,2011,60,1,4 44 49 25 1 28,21 23 24 34 45 48,,0
frequency_baseline,8110,2011,60,2,4 44 49 25 1 28,4 11 13 17 33 35,4,1
frequency_baseline,8111,2011,61,1,4 44 49 25 1 28,2 4 5 11 14 29,4,1
frequency_baseline,8112,2011,61,2,4 44 49 25 1 28,21 31 33 43 48 49,49,1
frequency_baseline,8113,2011,62,1,4 49 44 25 1 28,10 19 38 43 44 45,44,1
frequency_baseline,8114,2011,62,2,4 44 49 25 1 28,12 15 17 34 43 48,,0
frequency_baseline,8115,2011,63,1,4 44 49 25 1 17,14 31 32 33 44 48,44,1
frequency_baseline,8116,2011,63,2,4 44 49 25 1 17,15 22 31 32 38 46,,0
frequency_baseline,8117,2011,64,1,4 44 49 25 1 17,11 21 22 32 33 40,,0
frequency_baseline,8118,2011,64,2,4 44 49 25 1 17,6 17 30 35 37 48,17,1
frequency_baseline,8119,2011,65,1,4 44 49 25 17 1,3 13 17 40 42 48,17,1
frequency_baseline,8120,2011,65,2,4 44 49 25 17 1,3 4 12 14 29 47,4,1
frequency_baseline,8121,2011,66,1,4 44 49 25 17 1,7 9 17 37 44 48,17 44,2
frequency_baseline,8122,2011,66,2,4 44 49 25 17 1,1 3 16 23 28 44,1 44,2
frequency_baseline,8123,2011,67,1,4 44 49 25 17 1,3 14 20 32 44 47,44,1
frequency_baseline,8124,2011,67,2,4 44 49 25 17 1,4 20 24 26 30 43,4,1
frequency_baseline,8125,2011,68,1,4 44 49 25 17 1,4 17 24 27 28 46,4 17,2
frequency_baseline,8126,2011,68,2,4 44 49 25 17 28,5 11 24 27 31 49,49,1
frequency_baseline,8127,2011,69,1,4 44 49 25 17 28,15 23 29 36 40 48,,0
frequency_baseline,8128,2011,69,2,4 44 49 25 17 28,5 25 29 35 46 48,25,1
frequency_baseline,8129,2011,70,1,4 44 49 25 17 28,14 20 35 36 44 46,44,1
frequency_baseline,8130,2011,70,2,4 44 49 25 17 28,2 21 31 40 41 46,,0
frequency_baseline,8131,2011,71,1,4 44 49 25 17 28,6 9 16 18 19 40,,0
frequency_baseline,8132,2011,71,2,4 44 49 25 17 28,18 31 32 38 40 44,44,1
frequency_baseline,8133,2011,72,1,4 44 49 25 17 28,2 6 13 16 24 28,28,1
frequency_baseline,8134,2011,72,2,4 44 49 25 17 28,5 15 37 43 45 48,,0
frequency_baseline,8135,2011,73,1,4 44 49 25 17 28,3 12 22 26 32 38,,0
frequency_baseline,8136,2011,73,2,4 44 49 25 17 28,15 23 27 38 40 49,49,1
frequency_baseline,8137,2011,74,1,4 44 49 25 17 28,4 5 22 36 41 49,4 49,2
frequency_baseline,8138,2011,74,2,4 44 49 25 17 28,18 19 22 42 43 48,,0
frequency_baseline,8139,2011,75,1,4 44 49 25 17 28,4 6 8 19 23 48,4,1
frequency_baseline,8140,2011,75,2,4 44 49 25 17 28,2 4 21 34 42 46,4,1
frequency_baseline,8141,2011,76,1,4 44 49 25 17 28,3 10 13 18 40 45,,0
frequency_baseline,8142,2011,76,2,4 44 49 25 17 28,11 24 25 29 46 48,25,1
frequency_baseline,8143,2011,77,1,4 44 49 25 17 28,3 10 14 15 23 48,,0
frequency_baseline,8144,2011,77,2,4 44 49 25 17 28,4 21 32 33 35 36,4,1
frequency_baseline,8145,2011,78,1,4 44 49 25 17 28,1 2 3 13 34 40,,0
frequency_baseline,8146,2011,78,2,4 44 49 25 17 28,15 16 25 34 36 45,25,1
frequency_baseline,8147,2011,79,1,4 44 49 25 17 28,2 8 40 41 45 46,,0
frequency_baseline,8148,2011,79,2,4 44 49 25 17 28,8 15 16 24 25 48,25,1
frequency_baseline,8149,2011,80,1,4 44 49 25 17 28,3 6 13 29 39 48,,0
frequency_baseline,8150,2011,80,2,4 44 49 25 17 28,3 12 17 30 33 45,17,1
frequency_baseline,8151,2011,81,1,4 44 49 25 17 28,2 5 9 11 14 38,,0
frequency_baseline,8152,2011,81,2,4 44 49 25 17 28,6 12 20 22 27 33,,0
