number,profile_score,band,status,appearances,expected_appearances,appearance_vs_expected_ratio,draw_frequency_pct,last_seen_index,draws_since_last_seen,average_interval,median_interval,max_interval,recent_50,recent_100,recent_250,recent_500,interval_stability_score,top_pairs,top_triples
27,33.02,По-слаб профил,Закъсняло,1199,1231.84,0.9733,11.9185,10046,14,8.38,6.0,80,4,10,30,59,55.2,1 (143); 28 (139); 24 (139); 18 (138); 5 (137),14-29 (21); 19-44 (20); 18-49 (20); 28-46 (20); 10-19 (20)
28,56.15,Нормален профил,Нормален ритъм,1251,1231.84,1.0156,12.4354,10057,3,8.04,6.0,53,7,16,29,61,58.02,5 (148); 45 (146); 43 (145); 25 (144); 9 (144),26-30 (22); 42-48 (21); 9-43 (21); 19-25 (21); 34-44 (21)
29,63.85,Нормален профил,Нормален ритъм,1256,1231.84,1.0196,12.4851,10057,3,8.01,6.0,52,4,10,30,65,58.58,26 (162); 14 (150); 43 (148); 8 (147); 32 (145),13-14 (22); 14-26 (22); 26-30 (22); 5-26 (22); 14-27 (21)
30,50.73,Нормален профил,Нормален ритъм,1246,1231.84,1.0115,12.3857,10054,6,8.07,6.0,69,7,17,31,63,56.09,6 (163); 34 (154); 42 (149); 24 (148); 1 (145),3-9 (22); 26-28 (22); 26-29 (22); 6-45 (21); 7-10 (21)
31,52.29,Нормален профил,Нормален ритъм,1179,1231.84,0.9571,11.7197,10047,13,8.53,6.0,51,3,9,32,65,58.97,24 (141); 9 (140); 3 (139); 48 (138); 14 (135),43-46 (21); 12-21 (21); 3-20 (20); 2-9 (20); 4-44 (20)
32,31.87,По-слаб профил,Нормален ритъм,1204,1231.84,0.9774,11.9682,10048,12,8.35,6.0,67,2,7,19,56,57.52,11 (156); 21 (151); 29 (145); 44 (141); 16 (140),11-41 (22); 39-44 (21); 17-25 (21); 11-47 (20); 4-37 (20)
33,41.88,По-слаб профил,Нормален ритъм,1228,1231.84,0.9969,12.2068,10060,0,8.19,6.0,74,7,15,33,56,57.2,37 (148); 17 (146); 15 (144); 10 (142); 49 (142),6-8 (23); 6-49 (23); 37-48 (22); 37-49 (22); 19-44 (21)
34,69.69,Силен профил,Силно закъсняло,1291,1231.84,1.048,12.833,10029,31,7.77,5.0,78,2,6,32,70,54.96,44 (165); 30 (154); 38 (152); 11 (151); 13 (149),3-14 (24); 1-21 (24); 11-36 (24); 25-44 (23); 13-23 (23)
35,51.77,Нормален профил,Нормален ритъм,1244,1231.84,1.0099,12.3658,10060,0,8.08,6.0,51,4,8,37,65,57.4,17 (152); 11 (152); 37 (146); 5 (145); 20 (143),17-47 (22); 6-37 (21); 17-46 (21); 15-17 (21); 36-41 (20)
36,66.56,Силен профил,Активно напоследък,1221,1231.84,0.9912,12.1372,10049,11,8.22,6.0,57,10,15,37,64,58.4,37 (153); 21 (152); 48 (145); 1 (143); 12 (142),11-34 (24); 12-14 (23); 45-46 (23); 21-34 (22); 12-22 (21)
37,78.65,Силен профил,Активно напоследък,1276,1231.84,1.0359,12.6839,10055,5,7.88,6.0,56,12,19,42,77,57.92,49 (153); 36 (153); 8 (152); 44 (151); 21 (150),2-17 (23); 4-44 (22); 33-48 (22); 33-49 (22); 6-21 (22)
38,46.46,Нормален профил,Активно напоследък,1232,1231.84,1.0001,12.2465,10060,0,8.17,6.0,64,10,18,41,71,56.67,34 (152); 24 (146); 6 (144); 44 (144); 42 (143),16-43 (23); 17-18 (23); 6-12 (20); 17-42 (20); 16-42 (20)
39,35.83,По-слаб профил,Нормален ритъм,1210,1231.84,0.9823,12.0278,10054,6,8.29,6.0,53,5,11,31,64,55.83,44 (145); 20 (142); 21 (141); 2 (139); 48 (138),21-46 (23); 7-10 (21); 32-44 (21); 15-23 (20); 33-46 (20)
40,9.27,По-слаб профил,Нормален ритъм,1166,1231.84,0.9466,11.5905,10057,3,8.63,6.0,86,5,11,20,40,55.69,34 (142); 15 (138); 6 (137); 2 (135); 38 (134),15-22 (22); 14-34 (20); 6-39 (19); 11-38 (19); 6-26 (19)
41,24.38,По-слаб профил,Закъсняло,1173,1231.84,0.9522,11.66,10040,20,8.56,6.0,80,4,7,25,50,54.84,49 (155); 37 (145); 21 (138); 35 (138); 45 (134),11-32 (22); 22-49 (20); 35-36 (20); 15-35 (20); 14-19 (20)
42,47.08,Нормален профил,Активно напоследък,1236,1231.84,1.0034,12.2863,10058,2,8.14,6.0,60,10,14,35,80,56.63,30 (149); 6 (147); 4 (145); 8 (144); 38 (143),2-34 (22); 4-44 (22); 22-25 (22); 6-48 (21); 28-48 (21)
43,55.11,Нормален профил,Нормален ритъм,1222,1231.84,0.992,12.1471,10054,6,8.21,6.0,88,4,11,36,67,57.4,29 (148); 45 (147); 28 (145); 9 (145); 46 (142),16-38 (23); 5-10 (21); 9-28 (21); 13-46 (21); 31-46 (21)
44,43.96,По-слаб профил,Нормален ритъм,1292,1231.84,1.0488,12.8429,10059,1,7.79,5.0,78,7,9,26,54,54.58,34 (165); 49 (159); 4 (157); 37 (151); 8 (147),7-48 (23); 25-34 (23); 4-37 (22); 4-42 (22); 19-33 (21)
45,50.52,Нормален профил,Нормален ритъм,1238,1231.84,1.005,12.3062,10050,10,8.11,6.0,66,4,7,25,53,58.08,6 (149); 43 (147); 28 (146); 4 (142); 38 (141),36-46 (23); 20-23 (22); 2-9 (22); 6-30 (21); 4-6 (21)
46,38.86,По-слаб профил,Нормален ритъм,1247,1231.84,1.0123,12.3956,10059,1,8.07,6.0,58,7,13,29,57,56.42,21 (154); 11 (151); 5 (149); 49 (145); 28 (143),21-39 (23); 36-45 (23); 4-11 (22); 4-17 (21); 13-43 (21)
47,32.5,По-слаб профил,Нормален ритъм,1215,1231.84,0.9863,12.0775,10059,1,8.28,6.0,64,4,10,26,54,58.24,4 (156); 37 (147); 35 (143); 17 (141); 42 (140),17-35 (22); 14-15 (21); 4-44 (20); 21-42 (20); 13-17 (20)
48,60.0,Нормален профил,Нормален ритъм,1270,1231.84,1.031,12.6243,10059,1,7.92,6.0,58,8,15,35,64,57.59,6 (152); 21 (147); 25 (146); 36 (145); 22 (144),7-44 (23); 33-37 (22); 6-42 (21); 28-42 (21); 14-23 (21)
49,68.85,Силен профил,Активно напоследък,1274,1231.84,1.0342,12.664,10053,7,7.89,6.0,50,11,16,31,52,57.95,44 (159); 41 (155); 37 (153); 21 (151); 15 (149),20-22 (25); 6-33 (23); 33-37 (22); 17-24 (21); 3-44 (21)
