rank,model_name,model_label,tracked_draws,average_hits,max_hits,hit_rate_2_plus,hit_rate_3_plus,consistency_score,reliability_score,confidence_factor,base_score,adjusted_score,adaptive_weight,adaptive_weight_percent,status,source_status
1,v44_1_final_ensemble_ticket,v44.1 — финална обединена комбинация,3,3.333,5,100.0,66.67,68.82,71.88,0.3,70.784,21.235,0.20034,20.03,силен адаптивен сигнал,силна историческа надеждност
2,v41_latest_predictions,v41 — последни прогнозни сигнали,3,4.333,6,66.67,66.67,41.07,69.94,0.3,65.624,19.687,0.185735,18.57,силен адаптивен сигнал,средна историческа надеждност
3,v42_combined_prediction,v42 — комбиниран позитивен/негативен модел,3,2.667,4,100.0,33.33,76.43,62.64,0.3,63.716,19.115,0.180339,18.03,силен адаптивен сигнал,средна историческа надеждност
4,v45_final_prediction_tickets,v45 — Prediction Dashboard Pro,3,0.667,1,0.0,0.0,88.21,20.49,0.3,27.193,8.158,0.076966,7.7,балансиран сигнал,много ниска историческа надеждност
5,v50_pair_group_intelligence,v50 — двойки и групи,3,0.0,0,0.0,0.0,100.0,10.0,0.3,21.0,6.3,0.059437,5.94,слаб сигнал за наблюдение,много ниска историческа надеждност
6,v51_ticket_portfolio_intelligence,v51 — пакет от комбинации,3,0.0,0,0.0,0.0,100.0,10.0,0.3,21.0,6.3,0.059437,5.94,слаб сигнал за наблюдение,много ниска историческа надеждност
7,v57_hot_cold_stable,"v57 — горещи, студени и стабилни",3,0.0,0,0.0,0.0,100.0,10.0,0.3,21.0,6.3,0.059437,5.94,слаб сигнал за наблюдение,много ниска историческа надеждност
8,v58_smart_ensemble,v58 — обединена оценка,3,0.0,0,0.0,0.0,100.0,10.0,0.3,21.0,6.3,0.059437,5.94,слаб сигнал за наблюдение,много ниска историческа надеждност
9,v59_smart_ticket_builder_2,v59 — интелигентен генератор 2,3,0.0,0,0.0,0.0,100.0,10.0,0.3,21.0,6.3,0.059437,5.94,слаб сигнал за наблюдение,много ниска историческа надеждност
10,v61_latest_draw_signal_hits,v61 — сигнали към последния тираж,3,0.0,0,0.0,0.0,100.0,10.0,0.3,21.0,6.3,0.059437,5.94,слаб сигнал за наблюдение,много ниска историческа надеждност
