evaluated_at_utc,source,plan_id,evaluated_draw_key,draw_date,draw_number,draw_position,draw_numbers,combination_count,best_hit_count,best_combination_indexes,best_matching_numbers,total_hits_across_rows,rows_with_hits,rows_with_3_plus,rows_with_4_plus,verdict_bg,status,safe_note_bg
2026-06-25T16:34:06+00:00,add_draw_pre_save,v94_active_20260623T163844Z0000,"pending-2026-49-1|2026|1|2026-06-25|5, 11, 44, 46, 47, 48",2026-06-25,49,1,"5, 11, 44, 46, 47, 48",11,1,"2,3,4",44,3,3,0,0,Под историческия профил,EVALUATED,"Step 95 проверява активния бюджетен план срещу числата, въведени в Добавяне на тираж, преди новият тираж да обнови dataset-а. Това е отчет на вече запазен план, не гаранция за печалба."
2026-06-28T16:42:40+00:00,add_draw_pre_save,v94_active_20260623T163844Z0000,"pending-2026-50-1|2026|1|2026-06-28|2, 4, 17, 33, 35, 38",2026-06-28,50,1,"2, 4, 17, 33, 35, 38",11,3,7,"2, 4, 38",18,10,1,0,Над историческия профил,EVALUATED,"Step 95 проверява активния бюджетен план срещу числата, въведени в Добавяне на тираж, преди новият тираж да обнови dataset-а. Това е отчет на вече запазен план, не гаранция за печалба."
2026-07-13T03:07:11+00:00,add_draw_pre_save,v94_active_20260623T163844Z0000,"pending-2026-54-1|2026|1|2026-07-12|16, 29, 35, 37, 44, 47",2026-07-12,54,1,"16, 29, 35, 37, 44, 47",11,3,2,"29, 37, 44",8,6,1,0,Над историческия профил,EVALUATED,"Step 95 проверява активния бюджетен план срещу числата, въведени в Добавяне на тираж, преди новият тираж да обнови dataset-а. Това е отчет на вече запазен план, не гаранция за печалба."
