ticket_id,strategy_label,original_numbers,candidate_numbers,removed_numbers,added_numbers,changed,original_average_step66_score,candidate_average_step66_score,average_score_delta
1,Балансирана претеглена комбинация,"1,2,4,18,37,49","1,2,4,18,37,49",,,False,83.167,83.167,0.0
2,Комбинация с висока претеглена оценка,"1,4,21,34,38,44","1,4,12,34,38,44",21,12,True,77.633,74.939,-2.694
3,Диверсифицирана претеглена комбинация,"2,13,21,23,38,49","2,13,21,23,38,49",,,False,71.622,71.622,0.0
4,Балансирана комбинация по нечетни/четни числа,"2,17,23,34,37,44","2,17,24,34,37,44",23,24,True,74.028,72.508,-1.52
5,Балансирана комбинация по ниски/високи числа,"1,3,22,38,42,49","1,3,22,38,42,49",,,False,72.61,72.61,0.0
6,Разпределена диапазонна комбинация,"1,13,22,34,37,48","1,13,22,34,37,48",,,False,73.785,73.785,0.0
7,Консервативно ядро,"2,4,17,22,29,38","2,4,17,22,29,38",,,False,69.893,69.893,0.0
8,Разширена статистическа комбинация,"1,18,21,23,34,37","1,11,18,21,23,37",34,11,True,78.371,76.815,-1.556
