rank,ticket_id,strategy_label,current_numbers,suggested_numbers,remove_number,add_number,remove_step66_rank,add_step66_rank,remove_step66_score,add_step66_score,portfolio_score_before,portfolio_score_after,portfolio_score_delta,unique_coverage_before,unique_coverage_after,top20_coverage_before,top20_coverage_after,repeated_pairs_before,repeated_pairs_after,repeated_triples_before,repeated_triples_after,max_overlap_before,max_overlap_after,expected_gain_score,recommendation_strength,reason,safe_note
48,6,Разпределена диапазонна комбинация,"1,13,22,34,37,48","1,13,22,24,37,48",34,24,6,17,73.785,57.553,59.658,62.423,2.765,18,19,17,18,25,25,4,3,3,3,23.466,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
49,6,Разпределена диапазонна комбинация,"1,13,22,34,37,48","1,12,13,22,37,48",34,12,6,20,73.785,55.437,59.658,62.412,2.754,18,19,17,18,25,25,4,3,3,3,23.286,силна препоръка,покрива непокрит top20 сигнал 12; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
50,6,Разпределена диапазонна комбинация,"1,13,22,34,37,48","1,11,13,22,34,48",37,11,3,13,83.931,64.449,59.658,62.406,2.748,18,19,17,18,25,25,4,3,3,3,23.189,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
51,6,Разпределена диапазонна комбинация,"1,13,22,34,37,48","13,22,24,34,37,48",1,24,1,17,100.0,57.553,59.658,62.632,2.974,18,19,17,18,25,24,4,3,3,3,23.178,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
52,6,Разпределена диапазонна комбинация,"1,13,22,34,37,48","12,13,22,34,37,48",1,12,1,20,100.0,55.437,59.658,62.621,2.963,18,19,17,18,25,24,4,3,3,3,22.998,силна препоръка,покрива непокрит top20 сигнал 12; намалява повторените двойки; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
53,2,Комбинация с висока претеглена оценка,"1,4,21,34,38,44","1,4,11,21,34,44",38,11,7,13,73.752,64.449,59.658,62.409,2.751,18,19,17,18,25,22,4,4,3,3,22.807,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
54,3,Диверсифицирана претеглена комбинация,"2,13,21,23,38,49","2,11,13,21,23,49",38,11,7,13,73.752,64.449,59.658,62.409,2.751,18,19,17,18,25,22,4,4,3,3,22.807,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
55,5,Балансирана комбинация по ниски/високи числа,"1,3,22,38,42,49","1,3,11,22,42,49",38,11,7,13,73.752,64.449,59.658,62.409,2.751,18,19,17,18,25,22,4,4,3,3,22.807,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
56,7,Консервативно ядро,"2,4,17,22,29,38","2,4,11,17,22,29",38,11,7,13,73.752,64.449,59.658,62.409,2.751,18,19,17,18,25,22,4,4,3,3,22.807,силна препоръка,покрива непокрит top20 сигнал 11; намалява повторените двойки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
57,6,Разпределена диапазонна комбинация,"1,13,22,34,37,48","1,13,22,24,34,48",37,24,3,17,83.931,57.553,59.658,62.37,2.712,18,19,17,18,25,25,4,3,3,3,22.602,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
58,6,Разпределена диапазонна комбинация,"1,13,22,34,37,48","1,12,13,22,34,48",37,12,3,20,83.931,55.437,59.658,62.359,2.701,18,19,17,18,25,25,4,3,3,3,22.421,силна препоръка,покрива непокрит top20 сигнал 12; намалява повторените тройки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
59,2,Комбинация с висока претеглена оценка,"1,4,21,34,38,44","1,4,21,24,34,44",38,24,7,17,73.752,57.553,59.658,62.373,2.715,18,19,17,18,25,22,4,4,3,3,22.219,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
60,3,Диверсифицирана претеглена комбинация,"2,13,21,23,38,49","2,13,21,23,24,49",38,24,7,17,73.752,57.553,59.658,62.373,2.715,18,19,17,18,25,22,4,4,3,3,22.219,силна препоръка,покрива непокрит top20 сигнал 24; намалява повторените двойки; увеличава уникалното покритие; увеличава top20 покритието,"Статистическа препоръка за подобрение, не гаранция за печалба."
