group,n1,n2,n3,count,recent_count,last_seen_index,gap,frequency_score,recency_score,overdue_score,group_score
10-24-46,10,24,46,11,0,9793,265,0.44,0.0,0.026347,0.388048
9-10-24,9,10,24,11,0,9793,265,0.44,0.0,0.026347,0.388048
10-34-45,10,34,45,13,0,6842,3216,0.52,0.0,0.319745,0.388038
8-29-33,8,29,33,11,0,9792,266,0.44,0.0,0.026447,0.388033
2-13-36,2,13,36,13,0,6841,3217,0.52,0.0,0.319845,0.388023
9-21-35,9,21,35,11,0,9791,267,0.44,0.0,0.026546,0.388018
5-14-35,5,14,35,11,0,9791,267,0.44,0.0,0.026546,0.388018
15-18-32,15,18,32,11,0,9790,268,0.44,0.0,0.026645,0.388003
15-34-35,15,34,35,11,0,9790,268,0.44,0.0,0.026645,0.388003
15-31-40,15,31,40,11,0,9789,269,0.44,0.0,0.026745,0.387988
4-31-38,4,31,38,11,0,9789,269,0.44,0.0,0.026745,0.387988
4-11-48,4,11,48,12,0,8313,1745,0.48,0.0,0.173494,0.387976
18-33-43,18,33,43,11,0,9788,270,0.44,0.0,0.026844,0.387973
8-38-41,8,38,41,11,0,9787,271,0.44,0.0,0.026944,0.387958
1-6-17,1,6,17,11,0,9786,272,0.44,0.0,0.027043,0.387944
1-23-33,1,23,33,11,0,9786,272,0.44,0.0,0.027043,0.387944
7-34-42,7,34,42,11,0,9785,273,0.44,0.0,0.027143,0.387929
7-18-22,7,18,22,11,0,9785,273,0.44,0.0,0.027143,0.387929
19-46-49,19,46,49,11,0,9784,274,0.44,0.0,0.027242,0.387914
16-29-49,16,29,49,11,0,9784,274,0.44,0.0,0.027242,0.387914
