year,draw_number,date,drawing_no,n1,n2,n3,n4,n5,n6,bonus_number,source,source_url,source_file,parser_format,data_status
1958,31,,1,5,10,14,22,33,43,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,32,,1,2,7,14,34,42,43,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,33,,1,4,9,10,18,35,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,34,,1,16,18,21,24,28,43,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,35,,1,3,14,22,32,33,34,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,36,,1,8,11,41,42,43,46,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,37,,1,3,4,9,16,26,42,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,38,,1,1,10,11,23,45,46,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,39,,1,4,6,17,21,27,31,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,40,,1,4,13,22,25,31,35,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
