draw_event_id,year,draw_number,date,drawing_no,n1,n2,n3,n4,n5,n6,bonus_number,source,source_url,source_draw_id,data_status
1958-51-1,1958,51,,1,1,13,16,21,30,34,,historical_draws.csv,raw:bst_649_1958.txt,52,available_without_bonus
1958-52-1,1958,52,,1,6,16,22,32,38,45,,historical_draws.csv,raw:bst_649_1958.txt,53,available_without_bonus
1959-1-1,1959,1,,1,9,11,18,39,43,48,,historical_draws.csv,raw:bst_649_1959.txt,54,available_without_bonus
1959-2-1,1959,2,,1,7,15,18,41,45,49,,historical_draws.csv,raw:bst_649_1959.txt,55,available_without_bonus
1959-3-1,1959,3,,1,8,9,16,22,41,45,,historical_draws.csv,raw:bst_649_1959.txt,56,available_without_bonus
1959-4-1,1959,4,,1,2,9,11,17,28,48,,historical_draws.csv,raw:bst_649_1959.txt,57,available_without_bonus
1959-5-1,1959,5,,1,2,5,24,30,34,46,,historical_draws.csv,raw:bst_649_1959.txt,58,available_without_bonus
1959-6-1,1959,6,,1,13,18,25,28,31,33,,historical_draws.csv,raw:bst_649_1959.txt,59,available_without_bonus
1959-7-1,1959,7,,1,2,12,24,25,30,48,,historical_draws.csv,raw:bst_649_1959.txt,60,available_without_bonus
1959-8-1,1959,8,,1,5,9,10,20,21,30,,historical_draws.csv,raw:bst_649_1959.txt,61,available_without_bonus
1959-9-1,1959,9,,1,29,30,37,41,42,45,,historical_draws.csv,raw:bst_649_1959.txt,62,available_without_bonus
1959-10-1,1959,10,,1,3,9,13,20,22,39,,historical_draws.csv,raw:bst_649_1959.txt,63,available_without_bonus
1959-11-1,1959,11,,1,17,21,24,27,30,48,,historical_draws.csv,raw:bst_649_1959.txt,64,available_without_bonus
1959-12-1,1959,12,,1,8,18,26,32,35,43,,historical_draws.csv,raw:bst_649_1959.txt,65,available_without_bonus
1959-13-1,1959,13,,1,16,18,28,43,45,49,,historical_draws.csv,raw:bst_649_1959.txt,66,available_without_bonus
1959-14-1,1959,14,,1,9,11,25,30,38,42,,historical_draws.csv,raw:bst_649_1959.txt,67,available_without_bonus
1959-15-1,1959,15,,1,2,10,13,17,25,27,,historical_draws.csv,raw:bst_649_1959.txt,68,available_without_bonus
1959-16-1,1959,16,,1,12,17,19,30,39,48,,historical_draws.csv,raw:bst_649_1959.txt,69,available_without_bonus
1959-17-1,1959,17,,1,2,11,15,24,37,44,,historical_draws.csv,raw:bst_649_1959.txt,70,available_without_bonus
1959-18-1,1959,18,,1,1,15,21,36,40,41,,historical_draws.csv,raw:bst_649_1959.txt,71,available_without_bonus
1959-19-1,1959,19,,1,2,18,22,23,36,48,,historical_draws.csv,raw:bst_649_1959.txt,72,available_without_bonus
1959-20-1,1959,20,,1,23,24,32,41,44,48,,historical_draws.csv,raw:bst_649_1959.txt,73,available_without_bonus
1959-21-1,1959,21,,1,2,4,30,37,44,47,,historical_draws.csv,raw:bst_649_1959.txt,74,available_without_bonus
1959-22-1,1959,22,,1,16,23,26,34,37,48,,historical_draws.csv,raw:bst_649_1959.txt,75,available_without_bonus
1959-23-1,1959,23,,1,18,21,29,30,31,44,,historical_draws.csv,raw:bst_649_1959.txt,76,available_without_bonus
1959-24-1,1959,24,,1,6,8,12,17,24,31,,historical_draws.csv,raw:bst_649_1959.txt,77,available_without_bonus
1959-25-1,1959,25,,1,7,12,13,23,26,39,,historical_draws.csv,raw:bst_649_1959.txt,78,available_without_bonus
1959-26-1,1959,26,,1,8,9,17,25,41,46,,historical_draws.csv,raw:bst_649_1959.txt,79,available_without_bonus
1959-27-1,1959,27,,1,3,19,20,31,36,40,,historical_draws.csv,raw:bst_649_1959.txt,80,available_without_bonus
1959-28-1,1959,28,,1,13,15,16,18,34,40,,historical_draws.csv,raw:bst_649_1959.txt,81,available_without_bonus
1959-29-1,1959,29,,1,4,20,26,31,34,41,,historical_draws.csv,raw:bst_649_1959.txt,82,available_without_bonus
1959-30-1,1959,30,,1,12,24,36,37,39,44,,historical_draws.csv,raw:bst_649_1959.txt,83,available_without_bonus
1959-31-1,1959,31,,1,8,11,21,30,34,49,,historical_draws.csv,raw:bst_649_1959.txt,84,available_without_bonus
1959-32-1,1959,32,,1,6,28,36,42,45,48,,historical_draws.csv,raw:bst_649_1959.txt,85,available_without_bonus
1959-33-1,1959,33,,1,7,10,28,39,44,48,,historical_draws.csv,raw:bst_649_1959.txt,86,available_without_bonus
1959-34-1,1959,34,,1,4,16,17,40,44,49,,historical_draws.csv,raw:bst_649_1959.txt,87,available_without_bonus
1959-35-1,1959,35,,1,8,12,43,44,46,48,,historical_draws.csv,raw:bst_649_1959.txt,88,available_without_bonus
1959-36-1,1959,36,,1,5,25,31,45,46,48,,historical_draws.csv,raw:bst_649_1959.txt,89,available_without_bonus
1959-37-1,1959,37,,1,7,8,11,24,27,39,,historical_draws.csv,raw:bst_649_1959.txt,90,available_without_bonus
