draw_id,date,n1,n2,n3,n4,n5,n6,year,draw_number,draw_position,source_url,draw_no,bonus_number,source
69,,12,17,19,30,39,48,1959,16,1,raw:bst_649_1959.txt,16,,
70,,2,11,15,24,37,44,1959,17,1,raw:bst_649_1959.txt,17,,
71,,1,15,21,36,40,41,1959,18,1,raw:bst_649_1959.txt,18,,
72,,2,18,22,23,36,48,1959,19,1,raw:bst_649_1959.txt,19,,
73,,23,24,32,41,44,48,1959,20,1,raw:bst_649_1959.txt,20,,
74,,2,4,30,37,44,47,1959,21,1,raw:bst_649_1959.txt,21,,
75,,16,23,26,34,37,48,1959,22,1,raw:bst_649_1959.txt,22,,
76,,18,21,29,30,31,44,1959,23,1,raw:bst_649_1959.txt,23,,
77,,6,8,12,17,24,31,1959,24,1,raw:bst_649_1959.txt,24,,
78,,7,12,13,23,26,39,1959,25,1,raw:bst_649_1959.txt,25,,
79,,8,9,17,25,41,46,1959,26,1,raw:bst_649_1959.txt,26,,
80,,3,19,20,31,36,40,1959,27,1,raw:bst_649_1959.txt,27,,
81,,13,15,16,18,34,40,1959,28,1,raw:bst_649_1959.txt,28,,
82,,4,20,26,31,34,41,1959,29,1,raw:bst_649_1959.txt,29,,
83,,12,24,36,37,39,44,1959,30,1,raw:bst_649_1959.txt,30,,
84,,8,11,21,30,34,49,1959,31,1,raw:bst_649_1959.txt,31,,
85,,6,28,36,42,45,48,1959,32,1,raw:bst_649_1959.txt,32,,
86,,7,10,28,39,44,48,1959,33,1,raw:bst_649_1959.txt,33,,
87,,4,16,17,40,44,49,1959,34,1,raw:bst_649_1959.txt,34,,
88,,8,12,43,44,46,48,1959,35,1,raw:bst_649_1959.txt,35,,
89,,5,25,31,45,46,48,1959,36,1,raw:bst_649_1959.txt,36,,
90,,7,8,11,24,27,39,1959,37,1,raw:bst_649_1959.txt,37,,
91,,4,8,17,18,29,43,1959,38,1,raw:bst_649_1959.txt,38,,
92,,14,19,20,27,44,48,1959,39,1,raw:bst_649_1959.txt,39,,
93,,2,5,13,14,28,32,1959,40,1,raw:bst_649_1959.txt,40,,
94,,1,8,15,26,36,46,1959,41,1,raw:bst_649_1959.txt,41,,
95,,9,21,26,28,42,43,1959,42,1,raw:bst_649_1959.txt,42,,
96,,10,15,22,26,27,41,1959,43,1,raw:bst_649_1959.txt,43,,
97,,11,13,29,32,41,46,1959,44,1,raw:bst_649_1959.txt,44,,
98,,5,12,28,29,33,43,1959,45,1,raw:bst_649_1959.txt,45,,
99,,1,20,32,36,39,44,1959,46,1,raw:bst_649_1959.txt,46,,
