draw_number,date,year,drawing_no,n1,n2,n3,n4,n5,n6,bonus_number,source_label
1,DEMO,0,1,22,26,28,29,40,42,7,SAMPLE_NOT_OFFICIAL
1,DEMO,0,2,1,7,14,21,35,49,42,SAMPLE_NOT_OFFICIAL
