"number","frequency","frequency_share","expected_uniform_count","diff_from_expected","rank_desc"
40,1166,0.0193135890810309,1232.08163265306,-66.0816326530612,49
23,1169,0.019363280991188,1232.08163265306,-63.0816326530612,48
41,1173,0.0194295368713973,1232.08163265306,-59.0816326530612,47
31,1179,0.0195289206917114,1232.08163265306,-53.0816326530612,46
3,1182,0.0195786126018684,1232.08163265306,-50.0816326530612,45
19,1190,0.0197111243622872,1232.08163265306,-42.0816326530612,44
18,1197,0.0198270721526535,1232.08163265306,-35.0816326530612,43
27,1199,0.0198602000927582,1232.08163265306,-33.0816326530612,42
10,1201,0.0198933280328629,1232.08163265306,-31.0816326530612,41
16,1202,0.0199098920029153,1232.08163265306,-30.0816326530612,40
