"number","frequency","frequency_share","expected_uniform_count","diff_from_expected","rank_desc"
44,1292,0.0213985226406969,1232.20408163265,59.795918367347,1
34,1291,0.0213819603166716,1232.20408163265,58.795918367347,2
21,1290,0.0213653979926463,1232.20408163265,57.795918367347,3
4,1278,0.0211666501043426,1232.20408163265,45.795918367347,4
37,1276,0.021133525456292,1232.20408163265,43.795918367347,5
11,1275,0.0211169631322667,1232.20408163265,42.795918367347,6
49,1275,0.0211169631322667,1232.20408163265,42.795918367347,7
6,1273,0.0210838384842161,1232.20408163265,40.795918367347,8
48,1270,0.0210341515121402,1232.20408163265,37.795918367347,9
17,1269,0.0210175891881149,1232.20408163265,36.795918367347,10
