number,draw_count,share_of_all_drawn_numbers
37,12,0.0417
49,11,0.0382
36,10,0.0347
13,9,0.0312
18,9,0.0312
38,9,0.0312
42,9,0.0312
01,8,0.0278
23,8,0.0278
24,8,0.0278
