number,draw_count,share_of_all_drawn_numbers
25,2,0.0069
34,2,0.0069
21,3,0.0104
31,3,0.0104
32,3,0.0104
35,3,0.0104
47,3,0.0104
05,4,0.0139
06,4,0.0139
10,4,0.0139
