id,draw_key,draw_date,draw_number,drawing_position,n1,n2,n3,n4,n5,n6,numbers_text,entered_at_utc,source,note
29,"2026-06-28|50|1|2,4,17,33,35,38",2026-06-28,50,1,2,4,17,33,35,38,"2, 4, 17, 33, 35, 38",2026-06-28T16:45:31+00:00,dataset_latest_draw,Автоматичен sync от последния dataset тираж.
1,"2026-06-25|49|1|5,11,44,46,47,48",2026-06-25,49,1,5,11,44,46,47,48,"5, 11, 44, 46, 47, 48",2026-06-26T15:16:32+00:00,dataset_latest_draw,Автоматичен sync от последния dataset тираж.
